Material,Material Description
600214005345,"HOLDER SPRING (A11), STRAPING MC"
600214005346,"SPRING (AIR CYLINDER)-A22, STRAPING MC"
600214005347,"MOTOR CYLINDER (A23), STRAPING MC"
600214005348,"EVA PUNCHING BLADE,94496-4"
600214005349,"VANE ( A31), STRAPING MC"
600214005350,"RELAY,V23061B1007A401,24VDC,TE CONN."
600214005351,"SHIM ( BOTTOM DIE ) - A37, STRAPING MC"
600214005352,Servo encoder cable RVVSP 2*2*26/0.10
600214005353,"BALL BERING (626ZZ)- A43, STRAPING MC"
600214005354,"BALL BERING ( 685ZZ)- A44, STRAPING MC"
600214005355,"SCREW,BUTTON, HD.CAP(M5X25)A51,STRAPING"
600214005356,Switch-16Amp
600214005357,"SCREW,BUTTONHD.CAP,M5X30,A62, STRAPING"
600214005358,Fuse - 10Amp(Glass)
600214005359,"THROTTLE VALVE (A76), STRAPING MC"
600214005360,"TIMING BELT ENDLESS T3,L:339MM,P:3,W:9MM"
600214005361,"SPRING (MINI CYLINDER)A82, STRAPING MC"
600214005362,"MOTTOR CASE (B06), STRAPING MC"
600214005363,"INTERNAL GEAR ( B07), STRAPING MC"
600214005364,"AXIAL COOLING FAN,200FZY6-S,030900082"
600214005365,"ROTOR ( B15), STRAPING MC"
600214005366,"VANE ( B17), STRAPING MC"
600214005367,"IDLE GEAR ( B19), STRAPING MC"
600214005368,"3PH,MOTOR,CV.2001.200.SB.C1.10, ZD"
600214005369,"BALL BERING (6300ZZ) (B25), STRAPING MC"
600214005370,"BALL BEARING (6001ZZ) (B26), STRAPING MC"
600214005371,"BALL BEARING (6000ZZ) (B27), STRAPING MC"
600214005372,"SMPS POWER SUPPLY,NES-50-245,MEANWELL"
600214005373,"BALL BEARING ( 696ZZ) (B30), STRAPING MC"
600214005374,power flex 40 (AC drive)303053
600214005375,"NEEDLE BEARING F48, ( B32), STRAPING MC"
600214005376,"AIR CYLINDER,TACQJ125X3020SNT417B,AIRTAC"
600214005377,"SERVO MOTOR, ECMA-C10807SS, 750W, DELTA"
600214005378,"SERVO MOTOR, ECMA-C11010SS, 1KW, DELTA"
600214005379,"SMART HMI,6AV6648-0CE11-3AX0,SIEMENS"
600214005380,"PLC I/O MODULE,CP1W-20 EDT,24V/5MA,OMRON"
600214005381,"SOFTWARE FOR SMART PLC SMARTV2.1,SIEMENS"
600214005382,"CYLINDER, SMC, CDG1TA32NPT-250Z-N-M9BW"
600214005383,"TOGGLE SWITCH DPDT, LOW AMP"
600214005384,"STEPPER MOTOR 5-PH,PK545-NA-C21,VEXTRA"
600214005385,"DISPLAY PCB CARD,MODEL:FS3000,LEETRO"
600214005386,"SMPS,IN:220V,OUT:24V,6.5A,CL-A1-150-24"
600214005387,"SOLENOID VALVE,3V110-06-NC,24V,AIRTAC"
600214005388,"EVA PUNCHING BLADE,94496-4"
600214005389,"CABLE CONTROL CARD - DISPLAY CARD,LEETRO"
600214005390,"RELAY,V23061B1007A401,24VDC,TE CONN."
600214005391,"BALL BEARING,MOD:R-1560ZZ,SIZE:6X15X5MM"
600214005392,Servo encoder cable RVVSP 2*2*26/0.10
600214005393,"SMPS,MDR-60-24,OUTPUT:24V,2.5A,MEAN WELL"
600214005394,"SMPS,MDR-100-12,OUT:12V,7.5A,MEAN WELL"
600214005395,"SMPS,MDR-20-5,OUTPUT:5V,3.0A,MEAN WELL"
600214005396,Switch-16Amp
600214005397,"SAFETY RELAY,MODEL:ESM-BA301,24V,EUCHNER"
600214005398,"ON DELAY RELAY,83.11.0.240.0000,FINDER"
600214005399,"RELAY,MODEL:46.52.9.024.0040,24V,FINDER"
600214005400,"THROTTLE VALVE COVER,A77, STRAPING MC"
600214005401,"8 CH INPUT CARD,MODEL: EL1808,BECKHOFF"
600214005402,"8 CH OUTPUT CARD,MODEL:EL2808,BECKHOFF"
600214005403,"16 CH OUPUT CARD,MODEL:EL2809,BECKHOFF"
600214005404,"CYLINDER ( B11), STRAPING MC"
600214005405,"OPTO-COUPLER,A6652515,6MA,OUT:3-48V,MURR"
600214005406,"VANE ( B17), STRAPING MC"
600214005407,"SMPS,RSP-1500-48,OUT:48V,32A,MEAN WELL"
600214005408,"3PH,MOTOR,CV.2001.200.SB.C1.10, ZD"
600214005409,"FEMALE CON.COVER,P/N:09140010420,HARTING"
600214005410,"PINION SET FOR GEAR BOX,100GF180RC,JSCC"
600214005411,"MOTOR ,100YB200GY22,200W,1A,1300RPM,JSCC"
600214005412,"SMPS POWER SUPPLY,NES-50-245,MEANWELL"
600214005413,"MOTOR,YEJ90S4,1.1KW,1400RPM,2.8A,TAIZHOU"
600214005414,power flex 40 (AC drive)303053
600214005415,"MOTOR,100YT200GV22,200W,1200RPM,JSCC"
600214005416,"AIR CYLINDER,TACQJ125X3020SNT417B,AIRTAC"
600214005417,"MOTOR, 100YS200GY22,200W,1A,1300RPM,JSCC"
600214005418,Shaft Oil Seal TC 50x72x10MM Rubber
600214005419,"GEAR BOX,NMRV,SIZE:75,RATIO:10,NAYUAN"
600214005420,"PLC I/O MODULE,CP1W-20 EDT,24V/5MA,OMRON"
600214005421,"GEAR BOX, SB120-10-S2-P1-L1, RATIO:1/10"
600214005422,"MAIN CONTROLLER BOARD, BCD3000A, LEETRO"
600214005423,"GEAR BOX, SB120-05-S2-P2-L1, RATIO:1/05"
600214005424,"SMPS,IN:220V,OUT:24V,6.5A,CL-A1-150-24"
600214005425,"TEMPERATURE CONTROLLER, 513AX, SELEC"
600214005426,"TEMPERATURE SENSOR PT100, DELAMINATOR"
600214005427,"ROD RAM PISTON SP W/FLAT, GRACO, 15U202"
600214005428,"CABLE DISPLAY CARD - PROG PENDENT,LEETRO"
600216005463,Crimping Tool-(0.5mm TO16.0mm)
600216008400,Hand Crimping Tools
600216008465,RJ45 Crimping Tool
600217005476,Multimeter with Clamp meter (1000 V) AC
600217005477,Multimeter (1000 V) AC & DC
600217005478,Multimeter with Clamp meter(1000V)AC&DC
600219005483,Heat gun
600223008892,Valvoline Premium Blue 7600 1/10 LTR
600229006061,Valve ABC
600239006093,OIL BYPASS FILTER(ELEMENT)
600242006110,GI Plate for stay
600242006111,Plate-Rafter 65x75x8mm
600246006155,Contactor 4NO 10A 415V
600246008980,Phoenix Make SPD PT 5-HF-12 DC-ST
600246009041,CONTACTOR MNX 225-3POLE COIL VOLT-240VAC
600247008692,Over current and earth Fault MF relay
600252009298,6 V DC Surge Suppressor Diode
600253006213,Safety Helmet
600254006214,Electric shock proof Safety shoes
600254006215,Safety Shoes
600260006234,Transformer Pressure Release Valve
600260006236,Transformer Insulating Matetrial
600260008260,WTI Meter 1031
600260008261,Bucholz Relay
600260008599,SILICA GEL BREATHER1.6MVA TRAFO
600260008664,"LT SIDE BUSHING 1.6MVA TRAFO1.1 KV,2000A"
600260008665,OTI meter
600260008666,PRV for transformer
600260008667,Magnetic oil level gauge
600260008686,LV Bushing for 200KVA transformer 1.1KV
600260008687,Neutral Bushing with gasket
600260008688,WTI for 200KVA transformer
600260008689,OTI for 200KVA transformer
600260008701,PT 33kv/110 V 33 KV HT panel
600260008816,LT side bushing 3MVA trafo 33 KV
600268008560,HeatShrnkable Slv1.1KVO/D20.20mmYellow
600270006824,Measuring Tube(500 ml)
600270006828,Impeller
600270006831,Shaft seal Kit
600272006862,Pressure switch
600273006866,Ball bearing Kit
600278008511,RO FILTERING MEDIA
600279006888,Pressure Booster Pump1.5HP MPC-4.4kg 1Ph
600285006934,Right angle
600287006941,FIRE EXTINGUISHER TYPE B&C
600287006944,ABC Fire Extinguisher_6Kg
600292006978,PCBA VSE1
600292006982,PCB SCR driver for 7.5KVA UPS PCA MV
600292006984,PCBA RTC1
600292006985,PCBA CMX1
600296009430,50 Mm Valve For Plumbing Network
600296009431,QRC Valve
600300007041,"GYPSUM BOARD-6/4',12.5MM"
600301007044,Blower Fan
600307007057,High Visible Jackets
600311007101,Crimping tool 6sq.mm to 35Sq.mm
600312007102,Battery for Walkietalkie Delta
600312007103,Battery for Walkietalkie Vertel
600315008256,Fire Bucket with Stand
600317007118,LED Light
600327007151,Ladder
600331007157,Level Indicator
600338007201,Free Cooling Controller
600346008258,Nose Mask (Disposable)
600348007218,Full Body Harness
600362007242,Solar Lantern
600362007243,Solar Lamp with Mobile Charging Point
600365008331,Water tank 1050 ltr
600373008052,PV Sun PCB
600373008251,Voltage Transducer
600373008408,EMCO-EE301E AVR for RTCC panel
600373008409,RTCC PT
600373008644,SCR I(tav)95A V(rsm)1700V
600373008661,XFMR-VOLTAGE TRANSDUCER LV100-1000
600373009296,Micro850 48 I/O EtherNet
600373009297,Micro800 Isolated Serial Port Plug-In
600381008376,Phase sequence Indicator
600382009328,Fire detection and Alarm System
600393008981,Master Control Unit (Fire Alarm Panel)
600397008264,Mega Phone
600416008187,Thermostat
600422008266,Taparia LT line Tester
600422008804,Solar Link Test Kit (Model PV 200)
600423008268,Power Extension board  ( 5way )
600423008659,Logic I/O Extension VW3A3201
600423008660,Extended I/O VW3A3202
600424008270,Shilings for hydra - ( 10T capacity )
600425008274,Earth Testing Meter
600425008391,Insulation Tester
600425008434,Earth Resistance Tester
600428008374,Infrared temperature gun
600430008410,Main Moving Contact Assly
600430009039,33 KV TERMINAL CONNECTOR
600431008419,Surge Receiver
600431008624,"SPD 1000VDC,UP1.9KV,IMAX-40KA,IN-15KA"
600431008712,"SPD 480VAC,IMAX-50KA,MCOV-550V"
600431008822,"SPD 1000VDC, 20KA"
600431008823,"SPD 690VAC, 15KA"
600432008427,Slump cone test equipment + damper rod
600433008428,Rapid Moisture content test kit
600434009327,AC Connector 125A 5P
600435008435,Phase Sequence Meter
600436008454,SPD
600436008630,SPD1000VDC Up1.9kV Imax40kA 3P withmount
600438008466,BOSCH Auto Label Machine
600439008478,GPS Instruments
600443008565,PLC Analog input card – 2 input /Inline
600445008595,"DC-DC CONVERTER(24V/+15V,0,-15V)"
600446008693,SPACE HEATER for 33KV Breaker
600449008662,Power supply 100-240VAC48VDC5A
600449008663,Power supply 100-240VAC24VDC5A
600461008891,Transducer
600464008912,"GAUGING TROWEL, 8''"
600465008934,MODULE CLEANING SYSTEM
600469009040,SOLAR ACTUATOR
600485009248,"Cylinder, MGPM25-40Z, SMC"
600486009253,"Floating Joint, JAF30-10-125, SMC"
600487009299,Door Gasket
600488009300,Tapper Pin
600489009304,Emergency Light
600489009305,Discharge rod 11 kV
600489009306,SCB Control Card
600489009307,LV  Bushing for 63KVA transformer 1.1KV
600489009308,Complete set of gasket for 63kVA Trafo
600489009309,OIL LEVEL GAUGE FOR 63KVA TRANSFORMER
600489009310,GI Mast 2M GI pole with both side flange
600489009311,Premier Texcon Panel
600489009312,MC4 Thimble (lug)
600489009313,H.T TAPE(11 KV)
800000000001,Cement
800000000002,Helmet
800000000006,"""PVC Tee - 1Â½"""""""
800000000007,"""FTA - Plastic  - 1Â½"""""""
800000000011,PVC Junction Box 4 Way - 40 mm
800000000012,PVC Long Bend- 25 mm
800000000013,Cable - 3.5C X 50sqmm AL XLPE (1.1KV)
800000000014,Zinc Chromate Primer
800000000015,"""Elbow UPVC 2"""""""
800000000016,Solvent Cement UPVC
800000000017,ISMC 150mm
800000000018,Threaded Rod (M12 x 2m long )
800000000019,Aluminum Volume Control Collar Damper
800000000020,GI Washer  M10
800000000021,Lugs - 2.5 Sqmm Cu Fork Type PVC Sleeve
800000000022,Lugs - 2.5 Sqmm Cu Ring Type PVC Sleeve
800000000023,Lugs - 4 Sqmm Copper Pin Type PVC Sleeve
800000000024,Lugs - 4 Sqmm Cu Fork Type PVC Sleeve
800000000025,Lugs - 4 Sqmm CU Ring Type PVC sleeve
800000000026,Lugs - 6 Sqmm Cu Pin Type PVC Sleeve
800000000027,"""Lugs - 16Sqmm, Al. Long Barrel"""
800000000028,"""Lugs - 95 Sqmm, Al. Long Barrel"""
800000000029,"""Lugs - 150 Sqmm, Al. Long Barrel"""
800000000030,"""Lugs - 185 Sqmm, Al. Long Barrel"""
800000000031,"""Lugs - 300 Sqmm, Al. Long Barrel"""
800000000032,Cable Gland - 63mm Double Compressor
800000000033,Copper Flat - 50x6 mm
800000000034,Rolling Shutter
800000000035,400W copper Ballast for MH
800000000036,Soldering Station
800000000037,Bussing Tampelates (Prime)
800000000038,Aluminium Paint
800000000039,6 Amp Switch One Way
800000000040,16 AMP Switch
800000000041,1Modular Plate
800000000042,2Modular Plate
800000000043,3Modular Plate
800000000044,4Modular Plate
800000000045,6Modular Plate
800000000046,Junction box Jig
800000000047,Industrial Locker
800000000048,Adhesive Tape Dispenser(2 inch)
800000000049,PVC Punching Machine -16mm
800000000050,PVC Strapping Machine-16mm
800000000051,Iron Punching Machine-19mm
800000000052,Iron Strapping Machine-19mm
800000000053,MS Plate 8mm
800000000054,LDPE Polythene Sheet
800000000055,UPVC PIPE - 20mm (SCH 40)
800000000056,Wash Basin
800000000057,"""Tee PVC SWR 6"""""""
800000000058,Office Staff Chair
800000000059,Cat 6 Patch Cord (Yellow) 2 Mtrs.
800000000060,Cat 6 Patch Cord (Blue) 2 Mtrs.
800000000061,Cat 6 I/O UTP (Gig)
800000000062,"""Dual Port Face Plate, (Shuttered)"""
800000000063,Back Box (Size: 3X3)
800000000064,Pvc Sockets 65mm dia
800000000065,Pvc Sockets 15 mm dia
800000000066,Pvc Tee 32mm dia
800000000067,Pvc Union 32mm dia
800000000068,Ball valve 65mm dia
800000000069,Ball valve 40mm dia
800000000070,1/2 x 2' PVC connector pipe
800000000071,HDMI Cable - 15 Mtrs
800000000072,Lugs - 185sqmm copper
800000000073,White Cement
800000000074,"""PVC SWR door bends 4"""""""
800000000075,CFL 5W
800000000076,Lug - Copper Pin type 2.5 Sqmm
800000000077,Magnifying Glass 4X & 6X
800000000078,VGA Cable - 15 Mtrs
800000000079,HP Compaq 18.5â€ LED Display
800000000080,Chemical Earthing Chemical powder
800000000081,1/2 Module Surface Mounting PVC Box
800000000082,uPVC Sockets 25mm
800000000083,uPVC Sockets 20mm
800000000084,uPVC Reducer tee 50x25mm
800000000085,uPVC Ball Valves 25mm
800000000086,uPVC Union 25mm
800000000087,Brass Elbow 20 x 15mm
800000000088,"""1/2 """"bib cock long body"""
800000000089,"""1/2 """" angular stop cock"""
800000000090,C.P basin waste coupling
800000000091,Emergency stop with LED
800000000092,Vitrified Anti skid Floor Tiles 600x600m
800000000093,Deadlock with ss strike plate
800000000094,50MM PVC CASING AND CAPING
800000000095,"""3"""" ALLIGATOR PNUMATIC RIVET SQUEEZER-C"
800000000096,Insect Killer Machine
800000000097,Extension Cable for Monitor Cell
800000000098,1-Phase Decoupling Transformer Prim:400
800000000099,Hormann High Speed Door V6030 SEL
800000000100,Bottle Trap
800000000101,GI Washer M8
800000000102,Allenkey
800000000103,Modular Workstation
800000000104,Barbed Wire
800000000105,Wire Mesh
800000000106,UPVC PIPE 65 MM
800000000107,PVC REDUCER 65X40 MM DIA
800000000108,Wooden gutka
800000000109,Unequal TEE 40x40x32mm
800000000110,25 mm Tank Connector
800000000111,9mm nitrile rubber insulation
800000000112,MTA 32mm
800000000113,4â€ UPVC PipeÂ 
800000000114,Metal light fittings 400 Watt
800000000115,6mm GI U clamp
800000000116,Back filling (Sand Filling)
800000000117,Wall Putty
800000000118,40 watts led light fixtures 600x600mm
800000000119,Concertina Coil
800000000120,24 port PoE
800000000121,25 MM GI Conduits
800000000122,1M GI Box with Cover Plate
800000000123,4M GI Box with Cover Plate
800000000124,3rd Gen Intel Core Processor for CPM
800000000125,Programmable Controller for CPM
800000000126,Plastic Enamel Paint
800000000127,Cable - 4C x 10 Sqmm Cu Flexible
800000000128,Glass putty
800000000129,Plaster of Paris
800000000130,G.I. strips 25 x 3mm
800000000131,Plastic Emulsion Paint(Shade MilkyWhite)
800000000132,SILICON SEALENT GUN MANUALLY OPERATED
800000000133,Single Lane Full Height Turnstile SS 304
800000000134,Dual Lane Full Height Turnstile SS 304
800000000135,Lugs - 10 sqmm copper pin type
800000000136,Lugs - 10 sqmm copper ring type
800000000137,Equal Socket 25 MM
800000000138,END CAP 25 MM
800000000139,"""Aluminum Rivets 1/2"""""""
800000000140,Vitrified Tile
800000000141,Surface mounted downlighter (1x12watt)
800000000142,Recess Mounted downlighter (1x12watt)
800000000143,"""Wall mounted lights,1x10Watt coated gls"
800000000144,Thin Client (IQ-L64)
800000000145,HP 280 G2 Desktop i3 with Windows Prload
800000000146,Sika Floor 80 Primer
800000000147,Sika Floor 261 HS RAL 7035
800000000148,Barrication Tape
800000000149,PVC Chain
800000000150,100mm Grinding wheel
800000000151,ST-GD-SS-GI-900.00X2100.00
800000000152,ST-FD-UL-TR 120 Min-SS-GI-1000.00x2100.0
800000000153,ST-FD-UL-TR 120 Min-DS-GI-1800.00x2100.0
800000000154,Plywood â€“ 19mm
800000000155,3 Module M.S. Box
800000000156,"""""""T"""" 160 mm dia SWR"""
800000000157,Cable Gland 57mm Double Compressor
800000000158,Cable Gland 32mm Double Compressor
800000000159,Cable Gland for  1 Ã— 16 YY - 12 mm PVC
800000000160,Cable Gland for 3 Ã— 6 YY-25mmÂ 18 mm PV
800000000161,Cable Gland for 4Ã—6 PVC-22mmÂ 19mm PVC
800000000162,Lugs - Aluminium 35 Sqmm
800000000163,Lugs - Copper Flat Long barrel 95 Sqmm
800000000164,"""2Â½"""" UPVC Elbow"""
800000000165,"""2Â½"""" UPVC Tee"""
800000000166,"""2Â½"""" UPVC Union"""
800000000167,"""1Â½"""" UPVC Socket"""
800000000168,"""1½"""" UPVC Elbow"""
800000000169,"""1Â½"""" UPVC Tee"""
800000000170,"""1Â½"""" UPVC Union"""
800000000171,"""1Â½"""" UPVC Tank Connector"""
800000000172,"""1Â½"""" UPVC Ball Valve"""
800000000173,"""1Â¼"""" UPVC Pipe"""
800000000174,"""1Â¼"""" UPVC Tee"""
800000000175,"""1Â¼"""" UPVC Union"""
800000000176,"""1Â¼"""" UPVC Ball Valve"""
800000000177,Sika 364 (RAL 7035)
800000000178,PVC NumberÂ Ferrules A-Z 1.5 Sqmm Cable
800000000179,20 watt CFL
800000000180,GraniteÂ 
800000000181,DC Power Supply (Model- L3210)
800000000182,10 mm GI Bolts
800000000183,6 Way GI Box Northwest
800000000184,40 MM PVC Four Way Deep Junction Box
800000000185,IGNITOR 2POLE Philips Make
800000000186,Metal Halide Tubular Lamp 250W
800000000187,Metal Halide Tubular Lamp 400W
800000000188,Nylon castor wheelÂ 150x38 mm
800000000189,Datalogic Scanner
800000000190,Muted Grey 8231 Paint
800000000191,Lime Powder
800000000192,65mm G.I Union
800000000193,65mm Non return Valve
800000000194,65/150 Long Short piece
800000000195,White Zinc
800000000196,Concealed auto door bottom 914mm
800000000197,Rod for flush bolt
800000000198,"""Surface vertical rod panic bolt, 5530F"""
800000000199,Surface panic device
800000000200,Pull handle H type
800000000201,PVC Seal for frame C420
800000000202,Gravity door coordinator
800000000203,Fire pyran platinum glass
800000000204,External trim
800000000205,Euro profile 6 pin
800000000206,EPDM Seal for frame
800000000207,Concealed flush bolt
800000000208,Ball bearing butt hinge
800000000209,Surface auto door bottom
800000000210,Strike for double door
800000000211,Surface Door Closer
800000000212,MS hollow sectionÂ 
800000000213,16AMP Socket
800000000214,75 mm Suction Pipe
800000000215,2Ã—1.5 Sqmm Copper Flexiblecable-shielde
800000000216,6 Moduler PVC Box with Cover
800000000217,Exhuast Fan - 230V
800000000218,3 Phase Thyristor Power Controller-36KW
800000000219,UPVC Reducer Tee-40 to 25mm
800000000220,UPVC Elbow - 25mm
800000000221,Airnet 90Â° Elbow â€“ D80
800000000222,Both Side Airnet Valve â€“ D80
800000000223,Airnet Equal Tee â€“ D80
800000000224,Airnet Pipe 5.7M â€“ D80
800000000225,Airnet Quickdrops D80Ã—D20
800000000226,One Side Threaded Airnet Valve â€“ D20
800000000227,Airnet End Cap â€“ D80
800000000228,High wall FCU â€“ 3Tr
800000000229,"""LAMP 250W,Â  HAVELLS, MHSET 250 W D"""
800000000230,"""LAMP 400W,Â  Model HPI-T- PLUSÂ ( Phili"
800000000231,"""IGNITOR3POLE,IGN112S/MH(METALÂ HalidLam"
800000000232,HOLDER Edison Screw Type E40 - Havells
800000000233,32mmPVC Flexible pipe White/Ivory Colour
800000000234,PVC SWR Pipe D/S 110mmx10ft Type-A
800000000235,Pvc Swr Pipe D/S 110MM x 2ft Type-A
800000000236,Pvc swr pipe 160mm x 6 ft D/S Type - A
800000000237,Pvc Swr DOOR TEE (Ringfit) 160mm X 110mm
800000000238,160mm x 160mm Door Bend
800000000239,Pvc Swr SINGLE TEE (Ringfit) 160mm
800000000240,PVC SWR Single Tee (Ringfit) 110mm
800000000241,PVC SWR Door Tee (Ringfit) 110mm
800000000242,PVC SWR Plain Bend (Ringfit) 110mm
800000000243,Pvc Swr Pipe Clipe Ast 110MM
800000000244,Pvc Swr Pipe Clip Ast 160mm
800000000245,PVC Rubber LubricantÂ  500 Gms.
800000000246,PVC Shilp Rawl plate
800000000247,"""Upvc Tee Ast Sch -80 2""""x 1.5"""""""
800000000248,"""Upvc Tee Ast Sch-40 (1.5""""x1-1/4"""")"""
800000000249,"""Upvc Tee Ast Sch-40 (1-1/4""""x1"""") 32x25"
800000000250,"""Upvc Coupler Aq Sch-80, 2x 1.5"""""""
800000000251,"""Upvc Coupler Aq Sch-40, 1.5""""x 1-1/4"""""""
800000000252,"""Upvc Tee Ast Sch-40 (2"""") 50mm"""
800000000253,"""Upvc Cap Aq Sch-40 2.5"""""""
800000000254,"""Upvc Tee Ast Sch-40 (1.5"""") 40mm"""
800000000255,"""Upvc Tee Ast Sch-40 (1-1/4"""") 32mm"""
800000000256,"""Upvc Elbow 90* Aq.Sch-40, 1-1/4"""""""
800000000257,"""Upvc Tee Ast Sch-40 (3/4"""") 20mm"""
800000000258,"""UPVC TEE AST BRASS SCH-80 3/4 """"x 1/2"""
800000000259,"""Upvc Elbow 90* Brass SCh 80 3/4""""x 1/2"""
800000000260,"""Upvc Elbow 90* Aq.Sch-40, 3/4"""""""
800000000261,"""Upvc Cap Aq Sch-40 3/4"""""""
800000000262,"""3/4""""cpvc long plug"""
800000000263,"""Upvc Tee Ast Sch -80 2"""" x1.5"""""""
800000000264,"""Upvc Tee Ast Sch-40(1.5""""x1-1/4"""")40x32"
800000000265,"""Upvc Tee Ast Sch-40 (1-1/4""""x1"""") 32x25"
800000000266,"""Upvc Tee Ast Sch-40 (1""""x3/4"""") 25x20mm"
800000000267,"""UpvcÂ  MABT 3"""" brassÂ  80mm"""
800000000268,"""Upvc Coupler Aq Sch-40 (3"""") 80mm"""
800000000269,"""Upvc Coupler Aq Sch-40 (2.5"""") 65mm"""
800000000270,"""Upvc Coupler Aq Sch-40 (2"""") 50mm"""
800000000271,"""Upvc Coupler Aq Sch-40 (1-1/2"""") 40mm"""
800000000272,"""Upvc Coupler Aq Sch-40 (1"""") 25mm"""
800000000273,"""2Â½"""" GM Valve"""
800000000274,"""2"""" GM Valve"""
800000000275,"""1"""" GM Valve"""
800000000276,"""1Â¼"""" GM Valve"""
800000000277,"""1Â½"""" GM Valve"""
800000000278,"""3"""" GM Valve"""
800000000279,"""Â¾"""" GM Valve"""
800000000280,UPVC 705 Solvent Cement 946ml
800000000281,2.5sqmm Green Wire
800000000282,2.5sqmm Red Wire
800000000283,2.5sqmm Blue Wire
800000000284,DP MCB BOX
800000000285,10 Amps DP RCBO with 30ma
800000000286,1 inch Ball Valve Gun metal
800000000287,1 Inch GI Nipple
800000000288,65mm Dia Equal MS TeeÂ 
800000000289,40 mm MS Class C pipe
800000000290,16x110mm anchor fastners
800000000291,Stud-Anchor Fasteners(HST M10 x110/30)
800000000292,3 Modular GI Box
800000000293,12 Modular GI Box
800000000294,1 Modular Cover Plate
800000000295,12 Modular Cover Plate
800000000296,18 Modular GI Box
800000000297,18 Modular Cover Plate
800000000298,Fan Regulator 4 Step
800000000299,110 Ã— 75 mm SWR reducer socket
800000000300,3'' upvc supreme ball valve
800000000301,3'' upvc union
800000000302,50 mm agree pipe
800000000303,50/50 mm elbow agree
800000000304,50/50 mm agree tee
800000000305,3'' upvc elbow
800000000306,3'' upvc tee
800000000307,100/75 mm nani trap
800000000308,110 mm half bend
800000000309,2''/1.5''  upvc boos
800000000310,1.5''/1.25''upvc boos
800000000311,1.25''/1'' upvc boos
800000000312,1''/Â¾''  upvc boos
800000000313,UPVC TEE BRASS SCH- 80 Â¾'' x Â½''
800000000314,"""Upvc elbow 90* Brass SCH 80 3/4''  X1/2"
800000000315,80 mm upvc TEE
800000000316,80mm upvc sacket
800000000317,80 mm upvc elbow
800000000318,"""1/2"""" testing plug"""
800000000319,"""2.5"""" upvc end cap"""
800000000320,"""2"""" UPVC FTA"""
800000000321,"""1Â½"""" UPVC MTA"""
800000000322,"""1Â½"""" UPVC FTA"""
800000000323,"""1Â¼"""" UPVC MTA"""
800000000324,"""1Â¼"""" UPVC FTA"""
800000000325,"""1Â½"""" GI Tank Pen connector"""
800000000326,"""2"""" UPVC Tee"""
800000000327,"""2"""" UPVC Union"""
800000000328,80 mm upvc end cap
800000000329,Deckshield SF Part A
800000000330,Deckshield SF Part B
800000000331,Deckshield SF Part C
800000000332,Silica Powder
800000000333,Deckshield Finish Part A
800000000334,Deckshield Finish Part B
800000000335,Deckshield UV Line Marking Part A
800000000336,Deckshield UV Line Marking Part B
800000000337,80 MM MS CLASS C PIPE
800000000338,Senso Urinal-Solenoid Valve
800000000339,2.5sqmm yellow Wire
800000000340,Fibre Glass Wool
800000000341,Siphonic Toilet S-trap 295mm
800000000342,100mm M.S Pipe
800000000343,65mm M.S Pipe
800000000344,50mm M.S Pipe
800000000345,25mm M.S Pipe
800000000346,50mm Pvc Drain Pipe
800000000347,MS ANGLE ( 50x50xx6 MM)
800000000348,MS FLAT ( 50x50x6 MM)
800000000349,50 Ã— 32mm UPVC Reducer Bush
800000000350,LAMP 400W ( CG )Metal Halide Tubular
800000000351,PVC INSULATED 2.5CX 4COREÂ Cu Flex. Cabl
800000000352,JIG for EL 300
800000000353,Kajaria assam rosewood
800000000354,Glass Cloth Fabric
800000000355,32 mm CPVC Pipe 10 ft Long
800000000356,32/20 mm CPVC  Plan Tee
800000000357,32 mm CPVC End Cap
800000000358,32mm CPVC plan Elbow
800000000359,32mm CPVC Pipe Socket
800000000360,20 mm CPVC Pipe 10 ft Long
800000000361,20 mm CPVC Plan Elbow
800000000362,32/32 mm CPVC Metal MTA
800000000363,32 mm Metal Gate Valve
800000000364,20 mm CPVC  Pass Over
800000000365,160mm PVC  Supreme Plan Tee
800000000366,160 mm pvc Supreme Clamp
800000000367,110mm PVC  Supreme Plan Tee
800000000368,110 mm PVC Supreme Clamp
800000000369,110 mm plc. Supreme Door Bend
800000000370,110 mm pvc Supreme H/P  Bend
800000000371,PVC Solvent Cement Low Presser
800000000372,50 mm UPVC End Cap
800000000373,3'' UPVC Pipe
800000000374,"""MS PIPE 25 MM,""""C"""" CLASS, Size 32mm"""
800000000375,"""MS PIPE 25 MM,""""C"""" CLASS, Size 150mm"""
800000000376,"""MS PIPE 25 MM,""""C"""" CLASS, Size 200 mm"""
800000000377,16 Amps 4 Pole MCB
800000000378,Face Plate for Single I/O  Shuttered
800000000379,PPDG-11 RAVEN
800000000380,1/2'' Health faucet
800000000381,1/2 '' inch wall flange SS
800000000382,1/2 ''cp 3''inch long extension piece CC
800000000383,Jute
800000000384,COMPACT CASSETTE 0.8 TR - 300 CFM
800000000385,COMPACT CASSETTE 1.3 TR - 500 CFM
800000000386,CASSETTE 1.6 TR - 600 CFM
800000000387,CASSETTE 2.1 TR - 825 CFM
800000000388,CASSETTE 3.5 TR - 1500 CFM
800000000389,REST ROOM CUBICLES SYSTEMS
800000000390,UMP SYESTEM / URINAL PARTITION
800000000391,Aluminium Tube
