Material,Material type,Material Group,Base Unit of Measure
110000001134,ZHAW,C0013,EA
110000001135,ZHAW,C0013,EA
110000001136,ZHAW,C0013,EA
110000001137,ZHAW,O0001,W
110000001138,ZHAW,E0003,M
110000001139,ZHAW,E0003,M
110000001140,ZHAW,E0003,EA
110000001141,ZHAW,O0001,EA
110000001142,ZHAW,O0001,EA
110000001143,ZHAW,O0001,EA
110000001144,ZHAW,O0001,EA
110000001145,ZHAW,O0001,EA
110000001146,ZHAW,O0001,EA
110000001147,ZHAW,C0013,EA
110000001148,ZHAW,E0003,EA
110000001149,ZHAW,J0005,EA
110000001150,ZHAW,B0002,EA
110000001151,ZHAW,E0003,EA
110000001152,ZHAW,E0003,M
110000001153,ZHAW,E0003,M
110000001154,ZHAW,C0013,TON
110000001155,ZHAW,C0013,M
110000001156,ZHAW,O0001,EA
110000001157,ZHAW,P0005,EA
110000001158,ZHAW,E0003,M
110000001159,ZHAW,E0003,M
110000001160,ZHAW,E0003,M
110000001161,ZHAW,E0003,M
110000001162,ZHAW,E0003,M
110000001163,ZHAW,C0009,EA
110000001164,ZHAW,E0003,EA
110000001165,ZHAW,P0009,EA
110000001166,ZHAW,E0003,EA
110000001167,ZHAW,I0003,EA
110000001168,ZHAW,I0003,EA
110000001169,ZHAW,I0003,EA
110000001170,ZHAW,P0009,EA
110000001171,ZHAW,O0001,EA
110000001172,ZHAW,P0009,EA
110000001173,ZHAW,C0013,M
110000001174,ZHAW,O0001,EA
110000001175,ZHAW,C0013,EA
110000001176,ZHAW,C0013,EA
110000001177,ZHAW,C0013,EA
110000001178,ZHAW,C0013,EA
110000001179,ZHAW,C0013,EA
110000001180,ZHAW,C0013,M
110000001181,ZHAW,C0013,M
110000001182,ZHAW,C0013,M
110000001183,ZHAW,O0001,EA
110000001184,ZHAW,M0003,EA
110000001185,ZHAW,M0003,M
110000001186,ZHAW,O0001,EA
110000001187,ZHAW,E0003,EA
110000001188,ZHAW,P0005,EA
110000001189,ZHAW,O0001,M
110000001190,ZHAW,O0001,M
110000001191,ZHAW,O0001,EA
110000001192,ZHAW,O0001,EA
110000001193,ZHAW,E0003,EA
110000001194,ZHAW,E0003,EA
110000001195,ZHAW,E0003,EA
110000001196,ZHAW,E0003,EA
110000001197,ZHAW,E0003,EA
110000001198,ZHAW,E0003,EA
110000001199,ZHAW,E0003,EA
110000001200,ZHAW,E0003,EA
110000001201,ZHAW,E0003,M
110000001202,ZHAW,E0003,M
110000001203,ZHAW,E0003,M
110000001204,ZHAW,E0003,EA
110000001205,ZHAW,E0003,EA
110000001206,ZHAW,E0003,EA
110000001207,ZHAW,E0003,EA
110000001208,ZHAW,E0003,EA
110000001209,ZHAW,E0003,M
110000001210,ZHAW,E0003,EA
110000001211,ZHAW,O0001,EA
110000001212,ZHAW,I0003,EA
110000001213,ZHAW,I0003,EA
110000001214,ZHAW,I0003,EA
110000001215,ZHAW,E0003,EA
110000001216,ZHAW,E0003,EA
110000001217,ZHAW,E0003,EA
110000001218,ZHAW,E0003,M
110000001219,ZHAW,O0001,EA
110000001220,ZHAW,O0001,EA
110000001221,ZHAW,O0001,M
110000001222,ZHAW,O0001,M
110000001223,ZHAW,O0001,EA
110000001224,ZHAW,C0013,M
110000001225,ZHAW,O0001,EA
110000001226,ZHAW,E0003,EA
110000001227,ZHAW,E0003,EA
110000001228,ZHAW,O0001,EA
110000001229,ZHAW,O0001,EA
110000001230,ZHAW,O0001,EA
110000001231,ZHAW,O0001,EA
110000001232,ZHAW,C0013,EA
110000001233,ZHAW,O0001,EA
110000001234,ZHAW,E0003,EA
110000001235,ZHAW,E0003,EA
110000001236,ZHAW,P0005,EA
110000001237,ZHAW,O0001,EA
110000001238,ZHAW,B0002,PAA
110000001239,ZHAW,C0013,EA
110000001240,ZHAW,E0003,EA
110000001241,ZHAW,O0001,EA
110000001242,ZHAW,O0001,EA
110000001243,ZHAW,O0001,EA
110000001244,ZHAW,O0001,EA
110000001245,ZHAW,O0001,EA
110000001246,ZHAW,O0001,EA
110000001247,ZHAW,O0001,EA
110000001248,ZHAW,O0001,EA
110000001249,ZHAW,O0001,EA
110000001250,ZHAW,O0001,EA
110000001251,ZHAW,O0001,AU
110000001252,ZHAW,O0001,AU
110000001253,ZHAW,O0001,AU
110000001254,ZHAW,O0001,EA
110000001255,ZHAW,O0001,EA
110000001256,ZHAW,E0003,EA
110000001257,ZHAW,E0003,EA
110000001258,ZHAW,O0001,EA
110000001259,ZHAW,O0001,EA
110000001260,ZHAW,O0001,EA
110000001261,ZHAW,O0001,EA
110000001262,ZHAW,E0003,EA
110000001263,ZHAW,E0003,EA
110000001264,ZHAW,E0003,EA
110000001265,ZHAW,E0003,EA
110000001266,ZHAW,E0003,EA
110000001267,ZHAW,E0003,EA
110000001268,ZHAW,O0001,EA
110000001269,ZHAW,E0003,EA
110000001270,ZHAW,C0013,EA
110000001271,ZHAW,E0003,EA
110000001272,ZHAW,O0001,EA
110000001273,ZHAW,O0001,EA
110000001274,ZHAW,C0013,EA
110000001275,ZHAW,O0001,EA
110000001276,ZHAW,O0001,EA
110000001277,ZHAW,O0001,TON
110000001278,ZHAW,O0001,EA
110000001279,ZHAW,O0001,EA
110000001280,ZHAW,O0001,EA
110000001281,ZHAW,O0001,EA
110000001282,ZHAW,O0001,M3
110000001283,ZHAW,E0003,M
110000001284,ZHAW,E0003,M
110000001285,ZHAW,O0001,EA
110000001286,ZHAW,O0001,EA
110000001287,ZHAW,O0001,M
110000001288,ZHAW,O0001,M
110000001289,ZHAW,O0001,EA
110000001290,ZHAW,C0013,EA
110000001291,ZHAW,C0013,PAC
110000001292,ZHAW,C0013,EA
110000001293,ZHAW,C0013,EA
110000001294,ZHAW,C0013,EA
110000001295,ZHAW,O0001,EA
110000001296,ZHAW,O0001,EA
110000001297,ZHAW,C0013,EA
110000001298,ZHAW,M0003,EA
110000001299,ZHAW,O0001,EA
110000001300,ZHAW,O0001,EA
110000001301,ZHAW,O0001,EA
110000001302,ZHAW,O0001,EA
110000001303,ZHAW,C0013,EA
110000001304,ZHAW,C0013,M
110000001305,ZHAW,B0002,M
110000001306,ZHAW,B0002,M
110000001307,ZHAW,O0001,EA
110000001308,ZHAW,O0001,EA
110000001309,ZHAW,O0001,EA
110000001310,ZHAW,C0013,EA
110000001311,ZHAW,O0001,EA
110000001312,ZHAW,O0001,EA
110000001313,ZHAW,O0001,KG
110000001314,ZHAW,O0001,EA
110000001315,ZHAW,O0001,EA
110000001316,ZHAW,O0001,EA
110000001317,ZHAW,C0013,EA
110000001318,ZHAW,O0001,EA
110000001319,ZHAW,O0001,EA
110000001320,ZHAW,O0001,EA
110000001321,ZHAW,O0001,EA
110000001322,ZHAW,C0013,M
110000001323,ZHAW,O0001,EA
110000001324,ZHAW,E0003,EA
110000001325,ZHAW,O0001,EA
110000001326,ZHAW,O0001,EA
110000001327,ZHAW,I0003,EA
110000001328,ZHAW,I0003,M
110000001329,ZHAW,O0001,M
110000001330,ZHAW,O0001,M
110000001331,ZHAW,O0001,EA
110000001332,ZHAW,C0013,EA
110000001333,ZHAW,C0013,M
110000001334,ZHAW,E0003,EA
110000001335,ZHAW,E0003,EA
110000001336,ZHAW,E0003,EA
110000001337,ZHAW,E0003,EA
110000001338,ZHAW,O0001,EA
110000001339,ZHAW,O0001,M
110000001340,ZHAW,O0001,EA
110000001341,ZHAW,O0001,EA
110000001342,ZHAW,I0003,EA
110000001343,ZHAW,J0005,EA
110000001344,ZHAW,E0003,EA
110000001345,ZHAW,B0002,AU
110000001346,ZHAW,C0013,AU
110000001347,ZHAW,C0013,AU
110000001348,ZHAW,C0009,AU
110000001349,ZHAW,O0001,AU
110000001350,ZHAW,C0013,AU
110000001351,ZHAW,I0003,AU
110000001352,ZHAW,C0013,AU
110000001353,ZHAW,C0013,AU
110000001354,ZHAW,C0013,AU
110000001355,ZHAW,O0001,EA
110000001356,ZHAW,O0001,EA
110000001357,ZHAW,O0001,EA
110000001358,ZHAW,O0001,EA
110000001359,ZHAW,C0013,M
110000001360,ZHAW,C0013,M
110000001361,ZHAW,O0001,EA
110000001362,ZHAW,O0001,EA
110000001363,ZHAW,O0001,EA
110000001364,ZHAW,O0001,EA
110000001365,ZHAW,O0001,EA
110000001366,ZHAW,C0013,M
110000001367,ZHAW,O0001,KG
110000001368,ZHAW,O0001,L
110000001369,ZHAW,O0001,L
110000001370,ZHAW,C0013,KG
110000001371,ZHAW,E0003,EA
110000001372,ZHAW,E0003,EA
110000001373,ZHAW,E0003,M
110000001374,ZHAW,O0001,EA
110000001375,ZHAW,O0001,EA
110000001376,ZHAW,O0001,EA
110000001377,ZHAW,O0001,EA
110000001378,ZHAW,P0005,EA
110000001379,ZHAW,O0001,EA
110000001380,ZHAW,O0001,EA
110000001381,ZHAW,C0013,EA
110000001382,ZHAW,O0001,EA
110000001383,ZHAW,I0003,EA
110000001384,ZHAW,I0003,EA
110000001385,ZHAW,C0013,EA
110000001386,ZHAW,E0003,EA
110000001387,ZHAW,O0001,EA
110000001388,ZHAW,M0003,EA
110000001389,ZHAW,C0013,M
110000001390,ZHAW,C0013,M
110000001391,ZHAW,O0001,EA
110000001392,ZHAW,O0001,EA
110000001393,ZHAW,O0001,EA
110000001394,ZHAW,I0003,EA
110000001395,ZHAW,P0009,KG
110000001396,ZHAW,O0001,M
110000001397,ZHAW,E0003,EA
110000001398,ZHAW,C0013,EA
110000001399,ZHAW,C0013,EA
110000001400,ZHAW,C0013,EA
110000001401,ZHAW,C0013,EA
110000001402,ZHAW,O0001,EA
110000001403,ZHAW,B0002,EA
110000001404,ZHAW,O0001,EA
110000001405,ZHAW,O0001,M
110000001406,ZHAW,O0001,M
110000001407,ZHAW,I0003,EA
110000001408,ZHAW,J0005,EA
110000001409,ZHAW,E0003,EA
110000001410,ZHAW,E0003,EA
110000001411,ZHAW,E0003,EA
110000001412,ZHAW,O0001,EA
110000001413,ZHAW,J0005,EA
110000001414,ZHAW,E0003,M
110000001415,ZHAW,E0003,EA
110000001416,ZHAW,O0001,M
110000001417,ZHAW,O0001,M
110000001418,ZHAW,O0001,M
110000001419,ZHAW,C0013,EA
110000001420,ZHAW,O0001,EA
110000001421,ZHAW,O0001,EA
110000001422,ZHAW,O0001,EA
110000001423,ZHAW,E0003,M
110000001424,ZHAW,E0003,M
110000001425,ZHAW,E0003,M
110000001426,ZHAW,P0005,EA
110000001427,ZHAW,E0003,EA
110000001428,ZHAW,E0003,EA
110000001429,ZHAW,I0003,EA
110000001430,ZHAW,O0001,EA
110000001431,ZHAW,O0001,EA
110000001432,ZHAW,O0001,EA
110000001433,ZHAW,O0001,EA
110000001434,ZHAW,O0001,EA
110000001435,ZHAW,O0001,EA
110000001436,ZHAW,O0001,EA
110000001437,ZHAW,O0001,EA
110000001438,ZHAW,I0003,M
110000001439,ZHAW,O0001,EA
110000001440,ZHAW,O0001,M
110000001441,ZHAW,E0003,EA
110000001442,ZHAW,E0003,EA
110000001443,ZHAW,O0001,EA
110000001444,ZHAW,O0001,EA
110000001445,ZHAW,O0001,EA
110000001446,ZHAW,O0001,KG
110000001447,ZHAW,O0001,EA
110000001448,ZHAW,O0001,M
110000001449,ZHAW,E0003,PAC
110000001450,ZHAW,O0001,EA
110000001451,ZHAW,O0001,EA
110000001452,ZHAW,O0001,M
110000001453,ZHAW,E0003,EA
110000001454,ZHAW,I0003,EA
110000001455,ZHAW,P0005,EA
110000001456,ZHAW,C0013,EA
110000001457,ZHAW,C0013,EA
110000001458,ZHAW,C0013,EA
110000001459,ZHAW,C0013,PC
110000001460,ZHAW,C0013,KG
110000001461,ZHAW,M0003,EA
110000001462,ZHAW,O0001,EA
110000001463,ZHAW,C0013,EA
110000001464,ZHAW,C0013,EA
110000001465,ZHAW,C0013,EA
110000001466,ZHAW,O0001,EA
110000001467,ZHAW,B0002,EA
110000001468,ZHAW,O0001,EA
110000001469,ZHAW,O0001,M
110000001470,ZHAW,O0001,EA
110000001471,ZHAW,O0001,EA
110000001472,ZHAW,E0003,M
110000001473,ZHAW,O0001,M
110000001474,ZHAW,B0002,EA
110000001475,ZHAW,C0009,EA
110000001476,ZHAW,O0001,EA
110000001477,ZHAW,E0003,EA
110000001478,ZHAW,E0003,EA
110000001479,ZHAW,O0001,W
110000001480,ZHAW,O0001,EA
110000001481,ZHAW,O0001,EA
110000001482,ZHAW,O0001,EA
110000001483,ZHAW,O0001,EA
110000001484,ZHAW,O0001,EA
110000001485,ZHAW,O0001,EA
110000001486,ZHAW,O0001,EA
110000001487,ZHAW,E0003,EA
110000001488,ZHAW,E0003,EA
110000001489,ZHAW,O0001,EA
110000001490,ZHAW,O0001,EA
110000001491,ZHAW,O0001,EA
110000001492,ZHAW,E0003,EA
110000001493,ZHAW,E0003,EA
110000001494,ZHAW,E0003,EA
110000001495,ZHAW,O0001,EA
110000001496,ZHAW,P0009,EA
110000001497,ZHAW,O0001,FT2
110000001498,ZHAW,C0013,L
110000001499,ZHAW,E0003,EA
110000001500,ZHAW,O0001,EA
110000001501,ZHAW,O0001,M
110000001502,ZHAW,E0003,EA
110000001503,ZHAW,O0001,EA
110000001504,ZHAW,O0001,EA
110000001505,ZHAW,E0003,EA
110000001506,ZHAW,E0003,EA
110000001507,ZHAW,E0003,EA
110000001508,ZHAW,E0003,EA
110000001509,ZHAW,E0003,EA
110000001510,ZHAW,E0003,EA
110000001511,ZHAW,E0003,EA
110000001512,ZHAW,E0003,EA
110000001513,ZHAW,O0001,EA
110000001514,ZHAW,O0001,EA
110000001515,ZHAW,O0001,EA
110000001516,ZHAW,O0001,M
110000001517,ZHAW,O0001,EA
110000001518,ZHAW,P0005,L
110000001519,ZHAW,E0003,EA
110000001520,ZHAW,C0013,EA
110000001521,ZHAW,E0003,EA
110000001522,ZHAW,E0003,EA
110000001523,ZHAW,E0003,EA
110000001524,ZHAW,E0003,EA
110000001525,ZHAW,O0001,EA
110000001526,ZHAW,O0001,EA
110000001527,ZHAW,O0001,EA
110000001528,ZHAW,E0003,M
110000001529,ZHAW,C0013,M
110000001530,ZHAW,C0013,M
110000001531,ZHAW,C0013,M
110000001532,ZHAW,C0013,M
110000001533,ZHAW,O0001,PC
110000001534,ZHAW,O0001,EA
110000001535,ZHAW,E0003,EA
110000001536,ZHAW,O0001,M
110000001537,ZHAW,I0003,M
110000001538,ZHAW,O0001,PAA
110000001539,ZHAW,C0013,EA
110000001540,ZHAW,C0013,EA
110000001541,ZHAW,C0013,EA
110000001542,ZHAW,C0013,EA
110000001543,ZHAW,C0013,EA
110000001544,ZHAW,C0013,EA
110000001545,ZHAW,C0013,EA
110000001546,ZHAW,O0001,EA
110000001547,ZHAW,O0001,EA
110000001548,ZHAW,P0009,EA
110000001549,ZHAW,O0001,EA
110000001550,ZHAW,O0001,EA
110000001551,ZHAW,I0003,EA
110000001552,ZHAW,I0003,EA
110000001553,ZHAW,M0003,EA
110000001554,ZHAW,M0003,EA
110000001555,ZHAW,M0003,EA
110000001556,ZHAW,C0013,EA
110000001557,ZHAW,O0001,EA
110000001558,ZHAW,I0003,EA
110000001559,ZHAW,E0003,EA
110000001560,ZHAW,M0003,EA
110000001561,ZHAW,I0003,EA
110000001562,ZHAW,C0013,M
110000001563,ZHAW,O0001,EA
110000001564,ZHAW,O0001,EA
110000001565,ZHAW,O0001,EA
110000001566,ZHAW,E0003,EA
110000001567,ZHAW,O0001,M
110000001568,ZHAW,M0003,EA
110000001569,ZHAW,E0003,EA
110000001570,ZHAW,E0003,EA
110000001571,ZHAW,O0001,EA
110000001572,ZHAW,E0003,EA
110000001573,ZHAW,C0013,KG
110000001574,ZHAW,B0002,BAG
110000001575,ZHAW,C0013,M
110000001576,ZHAW,C0013,KG
110000001577,ZHAW,C0013,EA
110000001578,ZHAW,O0001,EA
110000001579,ZHAW,O0001,EA
110000001580,ZHAW,O0001,EA
110000001581,ZHAW,O0001,EA
110000001582,ZHAW,C0013,EA
110000001583,ZHAW,E0003,EA
110000001584,ZHAW,C0013,EA
110000001585,ZHAW,E0003,EA
110000001586,ZHAW,C0013,EA
110000001587,ZHAW,C0013,EA
110000001588,ZHAW,E0003,EA
110000001589,ZHAW,O0001,EA
110000001590,ZHAW,O0001,EA
110000001591,ZHAW,O0001,M
110000001592,ZHAW,O0001,EA
110000001593,ZHAW,O0001,M
110000001594,ZHAW,O0001,EA
110000001595,ZHAW,O0001,EA
110000001596,ZHAW,I0003,M
110000001597,ZHAW,O0001,EA
110000001598,ZHAW,O0001,EA
110000001599,ZHAW,O0001,EA
110000001600,ZHAW,O0001,EA
110000001601,ZHAW,O0001,EA
110000001602,ZHAW,E0003,M
110000001603,ZHAW,E0003,M
110000001604,ZHAW,E0003,M
110000001605,ZHAW,E0003,EA
110000001606,ZHAW,E0003,EA
110000001607,ZHAW,I0003,EA
110000001608,ZHAW,E0003,EA
110000001609,ZHAW,P0009,EA
110000001610,ZHAW,E0003,EA
110000001611,ZHAW,O0001,EA
110000001612,ZHAW,C0013,M
110000001613,ZHAW,C0013,EA
110000001614,ZHAW,C0013,EA
110000001615,ZHAW,C0013,M
110000001616,ZHAW,O0001,M
110000001617,ZHAW,C0013,M
110000001618,ZHAW,C0013,M
110000001619,ZHAW,B0002,EA
110000001620,ZHAW,O0001,EA
110000001621,ZHAW,E0003,EA
110000001622,ZHAW,O0001,EA
110000001623,ZHAW,O0001,M
110000001624,ZHAW,E0003,EA
110000001625,ZHAW,E0003,EA
110000001626,ZHAW,O0001,KG
110000001627,ZHAW,O0001,KG
110000001628,ZHAW,O0001,KG
110000001629,ZHAW,E0003,M
110000001630,ZHAW,E0003,EA
110000001631,ZHAW,E0003,EA
110000001632,ZHAW,E0003,EA
110000001633,ZHAW,O0001,EA
110000001634,ZHAW,E0003,EA
110000001635,ZHAW,E0003,M
110000001636,ZHAW,E0003,EA
110000001637,ZHAW,E0003,EA
110000001638,ZHAW,E0003,EA
110000001639,ZHAW,O0001,EA
110000001640,ZHAW,E0003,EA
110000001641,ZHAW,E0003,EA
110000001642,ZHAW,E0003,EA
110000001643,ZHAW,E0003,EA
110000001644,ZHAW,O0001,EA
110000001645,ZHAW,O0001,EA
110000001646,ZHAW,E0003,EA
110000001647,ZHAW,B0002,EA
110000001648,ZHAW,E0003,EA
110000001649,ZHAW,O0001,M
110000001650,ZHAW,O0001,EA
110000001651,ZHAW,O0001,EA
110000001652,ZHAW,O0001,EA
110000001653,ZHAW,O0001,EA
110000001654,ZHAW,P0009,EA
110000001655,ZHAW,C0013,EA
110000001656,ZHAW,C0013,EA
110000001657,ZHAW,C0013,M
110000001658,ZHAW,C0013,EA
110000001659,ZHAW,C0013,M
110000001660,ZHAW,C0013,M
110000001661,ZHAW,C0013,EA
110000001662,ZHAW,E0003,EA
110000001663,ZHAW,E0003,EA
110000001664,ZHAW,I0003,M
110000001665,ZHAW,C0013,EA
110000001666,ZHAW,C0013,M
110000001667,ZHAW,O0001,EA
110000001668,ZHAW,C0013,EA
110000001669,ZHAW,C0013,EA
110000001670,ZHAW,O0001,EA
110000001671,ZHAW,O0001,M2
110000001672,ZHAW,O0001,EA
110000001673,ZHAW,O0001,EA
110000001674,ZHAW,O0001,EA
110000001675,ZHAW,O0001,KG
110000001676,ZHAW,O0001,KG
110000001677,ZHAW,O0001,M
110000001678,ZHAW,E0003,EA
110000001679,ZHAW,O0001,EA
110000001680,ZHAW,E0003,EA
110000001681,ZHAW,E0003,EA
110000001682,ZHAW,E0003,EA
110000001683,ZHAW,O0001,EA
110000001684,ZHAW,E0003,EA
110000001685,ZHAW,E0003,EA
110000001686,ZHAW,E0003,EA
110000001687,ZHAW,E0003,EA
110000001688,ZHAW,E0003,EA
110000001689,ZHAW,E0003,EA
110000001690,ZHAW,C0013,M
110000001691,ZHAW,E0003,M
110000001692,ZHAW,O0001,EA
110000001693,ZHAW,P0004,EA
110000001694,ZHAW,P0004,EA
110000001695,ZHAW,O0001,EA
110000001696,ZHAW,O0001,EA
110000001697,ZHAW,O0001,EA
110000001698,ZHAW,O0001,EA
110000001699,ZHAW,O0001,EA
110000001700,ZHAW,O0001,EA
110000001701,ZHAW,O0001,EA
110000001702,ZHAW,O0001,EA
110000001703,ZHAW,O0001,EA
110000001704,ZHAW,O0001,EA
110000001705,ZHAW,O0001,EA
110000001706,ZHAW,O0001,EA
110000001707,ZHAW,O0001,EA
110000001708,ZHAW,O0001,EA
110000001709,ZHAW,O0001,EA
110000001710,ZHAW,O0001,EA
110000001711,ZHAW,O0001,EA
110000001712,ZHAW,O0001,EA
110000001713,ZHAW,I0003,EA
110000001714,ZHAW,O0001,EA
110000001715,ZHAW,O0001,EA
110000001716,ZHAW,O0001,EA
110000001717,ZHAW,O0001,EA
110000001718,ZHAW,O0001,EA
110000001719,ZHAW,O0001,EA
110000001720,ZHAW,O0001,EA
110000001721,ZHAW,E0003,EA
110000001722,ZHAW,E0003,EA
110000001723,ZHAW,E0003,EA
110000001724,ZHAW,E0003,EA
110000001725,ZHAW,O0001,EA
110000001726,ZHAW,O0001,EA
110000001727,ZHAW,O0001,M2
110000001728,ZHAW,E0003,M
110000001729,ZHAW,E0003,M
110000001730,ZHAW,E0003,M
110000001731,ZHAW,E0003,M
110000001732,ZHAW,E0003,M
110000001733,ZHAW,C0013,M
110000001734,ZHAW,C0013,M
110000001735,ZHAW,C0013,EA
110000001736,ZHAW,C0013,EA
110000001737,ZHAW,I0003,EA
110000001738,ZHAW,C0013,M
110000001739,ZHAW,E0003,M
110000001740,ZHAW,E0003,EA
110000001741,ZHAW,E0003,M
110000001742,ZHAW,E0003,M
110000001743,ZHAW,E0003,EA
110000001744,ZHAW,E0003,EA
110000001745,ZHAW,E0003,EA
110000001746,ZHAW,E0003,EA
110000001747,ZHAW,E0003,EA
110000001748,ZHAW,E0003,EA
110000001749,ZHAW,E0003,EA
110000001750,ZHAW,E0003,EA
110000001751,ZHAW,E0003,EA
110000001752,ZHAW,E0003,EA
110000001753,ZHAW,E0003,EA
110000001754,ZHAW,E0003,EA
110000001755,ZHAW,E0003,EA
110000001756,ZHAW,E0003,EA
110000001757,ZHAW,E0003,EA
110000001758,ZHAW,E0003,EA
110000001759,ZHAW,E0003,EA
110000001760,ZHAW,E0003,EA
110000001761,ZHAW,O0001,EA
110000001762,ZHAW,E0003,EA
110000001763,ZHAW,E0003,EA
110000001764,ZHAW,P0009,EA
110000001765,ZHAW,C0013,EA
110000001766,ZHAW,E0003,EA
110000001767,ZHAW,E0003,EA
110000001768,ZHAW,O0001,EA
110000001769,ZHAW,O0001,EA
110000001770,ZHAW,E0003,EA
110000001771,ZHAW,O0001,EA
110000001772,ZHAW,E0003,EA
110000001773,ZHAW,O0001,EA
110000001774,ZHAW,M0003,EA
110000001775,ZHAW,E0003,EA
110000001776,ZHAW,E0003,EA
110000001777,ZHAW,E0003,EA
110000001778,ZHAW,E0003,EA
110000001779,ZHAW,O0001,EA
110000001780,ZHAW,O0001,M
110000001781,ZHAW,O0001,KG
110000001782,ZHAW,O0001,EA
110000001783,ZHAW,C0013,M2
110000001784,ZHAW,O0001,EA
110000001785,ZHAW,C0013,M
110000001786,ZHAW,C0013,M
110000001787,ZHAW,E0003,EA
110000001788,ZHAW,O0001,EA
110000001789,ZHAW,O0001,EA
110000001790,ZHAW,M0003,EA
110000001791,ZHAW,O0001,EA
110000001792,ZHAW,O0001,EA
110000001793,ZHAW,O0001,EA
110000001794,ZHAW,O0001,EA
110000001795,ZHAW,O0001,EA
110000001796,ZHAW,O0001,EA
110000001797,ZHAW,C0013,EA
110000001798,ZHAW,C0013,EA
110000001799,ZHAW,C0013,EA
110000001800,ZHAW,O0001,EA
110000001801,ZHAW,O0001,EA
110000001802,ZHAW,O0001,EA
110000001803,ZHAW,P0005,EA
110000001804,ZHAW,C0013,M
110000001805,ZHAW,O0001,EA
110000001806,ZHAW,P0005,EA
110000001807,ZHAW,C0013,M
110000001808,ZHAW,C0013,M
110000001809,ZHAW,C0013,M
110000001810,ZHAW,C0013,M
110000001811,ZHAW,P0005,EA
110000001812,ZHAW,P0005,M
110000001813,ZHAW,P0005,EA
110000001814,ZHAW,P0005,EA
110000001815,ZHAW,O0001,EA
110000001816,ZHAW,O0001,EA
110000001817,ZHAW,O0001,EA
110000001818,ZHAW,M0003,EA
110000001819,ZHAW,M0003,M
110000001820,ZHAW,I0003,M
110000001821,ZHAW,E0003,M
110000001822,ZHAW,E0003,M
110000001823,ZHAW,I0003,M
110000001824,ZHAW,E0003,M
110000001825,ZHAW,E0003,M
110000001826,ZHAW,E0003,M
110000001827,ZHAW,E0003,M
110000001828,ZHAW,E0003,M
110000001829,ZHAW,E0003,M
110000001830,ZHAW,G0003,EA
110000001831,ZHAW,G0003,EA
110000001832,ZHAW,G0003,EA
110000001833,ZHAW,G0003,EA
110000001834,ZHAW,G0003,EA
110000001835,ZHAW,O0001,EA
110000001836,ZHAW,O0001,EA
110000001837,ZHAW,O0001,EA
110000001838,ZHAW,O0001,EA
110000001839,ZHAW,C0013,M
110000001840,ZHAW,O0001,EA
110000001841,ZHAW,O0001,EA
110000001842,ZHAW,O0001,EA
110000001843,ZHAW,I0003,EA
110000001844,ZHAW,E0003,EA
110000001845,ZHAW,E0003,M2
110000001846,ZHAW,E0003,EA
110000001847,ZHAW,E0003,M
110000001848,ZHAW,O0001,EA
110000001849,ZHAW,O0001,M
110000001850,ZHAW,C0013,EA
110000001851,ZHAW,C0013,EA
110000001852,ZHAW,O0001,EA
110000001853,ZHAW,O0001,KG
110000001854,ZHAW,E0003,EA
110000001855,ZHAW,C0013,EA
110000001856,ZHAW,C0013,EA
110000001857,ZHAW,C0013,EA
110000001858,ZHAW,E0003,EA
110000001859,ZHAW,E0003,EA
110000001860,ZHAW,E0003,EA
110000001861,ZHAW,E0003,EA
110000001862,ZHAW,E0003,EA
110000001863,ZHAW,E0003,EA
110000001864,ZHAW,B0003,PC
110000001865,ZHAW,O0001,EA
110000001866,ZHAW,O0001,EA
110000001867,ZHAW,O0001,EA
110000001868,ZHAW,O0001,EA
110000001869,ZHAW,O0001,EA
110000001870,ZHAW,O0001,EA
110000001871,ZHAW,O0001,M
110000001872,ZHAW,O0001,M
110000001873,ZHAW,O0001,M
110000001874,ZHAW,O0001,EA
110000001875,ZHAW,E0003,EA
110000001876,ZHAW,E0003,EA
110000001877,ZHAW,O0001,EA
110000001878,ZHAW,O0001,M
110000001879,ZHAW,E0003,EA
110000001880,ZHAW,O0001,EA
110000001881,ZHAW,O0001,EA
110000001882,ZHAW,O0001,EA
110000001883,ZHAW,O0001,M
110000001884,ZHAW,O0001,EA
110000001885,ZHAW,O0001,EA
110000001886,ZHAW,O0001,M
110000001887,ZHAW,C0013,EA
110000001888,ZHAW,I0003,EA
110000001889,ZHAW,I0003,M
110000001890,ZHAW,O0001,EA
110000001891,ZHAW,O0001,EA
110000001892,ZHAW,B0003,PC
110000001893,ZHAW,B0003,PC
110000001894,ZHAW,O0001,EA
110000001895,ZHAW,O0001,EA
110000001896,ZHAW,O0001,EA
110000001897,ZHAW,O0001,EA
110000001898,ZHAW,E0003,EA
110000001899,ZHAW,E0003,EA
110000001900,ZHAW,E0003,EA
110000001901,ZHAW,E0003,M
110000001902,ZHAW,M0003,EA
110000001903,ZHAW,M0003,EA
110000001904,ZHAW,E0003,EA
110000001905,ZHAW,E0003,EA
110000001906,ZHAW,E0003,M
110000001907,ZHAW,E0003,EA
110000001908,ZHAW,E0003,EA
110000001909,ZHAW,E0003,EA
110000001910,ZHAW,E0003,EA
110000001911,ZHAW,E0003,L
110000001912,ZHAW,C0013,L
110000001913,ZHAW,C0013,EA
110000001914,ZHAW,C0013,EA
110000001915,ZHAW,C0013,EA
110000001916,ZHAW,C0013,EA
110000001917,ZHAW,O0001,EA
